PMID	Sentence	Dictionary Name	Position	True	False
3265510	In many tumor cells an immunoreactivity to neurotensin, bombesin and - according to the elevated serum levels - to ACTH, CRF and calcitonin was found.	CRF	121 124	0	1
3265567	An in vitro assay was used to study the adherence of Haemophilus influenzae to human nasal, nasopharyngeal, and buccal mucosal cells from patients with otitis media with effusion (OME).	OME	180 183	1	0
3265567	Haemophilus influenzae adherence to both nasal and nasopharyngeal mucosal cells is stronger than that of buccal ones, indicating the presence of an important route of haemophilus influenzae infection from the nose to the nasopharynx in OME.	OME	236 239	1	0
3265567	No significant correlation could be observed between specific secretory IgA or IgG titers and haemophilus influenzae adherence to the nasopharyngeal mucosal cells, which suggests that haemophilus influenzae adherence to the mucosal cells seems to depend on various factors including the local immunological defense system in OME patients.	OME	325 328	1	0
3265752	The involvement of the GABA system in dopamine-acetylcholine interactions in electroacupuncture induced analgesia (EAA), measured in terms of tail flick latency test, was studied with administration of the GABA receptor agonist, muscimol (1 mg/kg, i.p.);	EAA	115 118	0	1
3265752	Results observed under the above conditions suggest that the cholinergic system has a direct inhibitory role on EAA and the dopaminergic system mediates its action via the cholinergic system.	EAA	112 115	0	1
3265752	A decrease in EAA with both the GABA receptor agonist and antagonist and tremendous increase of EAA with the gabamimetic drug, ethanolamine-o-sulfate, showed that GABA receptors may not be directly involved in EAA.	EAA	14 17	0	1
3265752	A decrease in EAA with both the GABA receptor agonist and antagonist and tremendous increase of EAA with the gabamimetic drug, ethanolamine-o-sulfate, showed that GABA receptors may not be directly involved in EAA.	EAA	96 99	0	1
3265752	A decrease in EAA with both the GABA receptor agonist and antagonist and tremendous increase of EAA with the gabamimetic drug, ethanolamine-o-sulfate, showed that GABA receptors may not be directly involved in EAA.	EAA	210 213	0	1
3265752	Further (a) gradual withdrawal of muscimol, bicuculline or physostigmine induced decrease in EAA with the increase in duration of electroacupunture exposure;	EAA	93 96	0	1
3265752	(b) the characteristic changes in EAA observed with the coadministration of (i) L-DOPA + carbidopa + muscimol (ii) atropine + muscimol;	EAA	34 37	0	1
3265752	And (c) no significant change in bicuculline + physostigmine induced inhibition of EAA with the increase in duration of electroacupunture exposure suggest that some inhibitory substance(s) may be released during electroacupunture which may inhibit the GABA system and finally cholinergic activity through the activation of dopaminergic neurone.	EAA	83 86	0	1
3265821	They were almost equally distributed among HAM patients.	HAM	43 46	1	0
3265821	It was concluded that two major subgroups of HTLV-1 exist in Japan and both types have an ability to cause either of two diseases, adult t-cell leukemia/lymphoma or HAM.	HAM	165 168	1	0
3265960	While in general there was agreement as to the preferred management of gout, family physicians were (a) more likely to use phenylbutazone, (b) more liberal in their use of allopurinol, (c) less likely to cover the introduction of allopurinol with antiinflammatory agents or to titrate the dose against the serum uric acid, or to adjust the dose according to the serum creatinine.	gout	71 75	1	0
3266309	Plasma interleukin-1 activity was measured in 7 stable ESRD patients on regular hemodialysis for no less than 5 months.	ESRD	55 59	1	0
3266539	In 250 patients with tic doulourex an percutaneous radiofrequency coagulation of the gasserian ganglion has been performed.	tic	21 24	1	0
3266855	Single photon emission tomography was performed using a double-head Rotacamera with a 360 degrees rotation arc.	arc	107 110	0	1
3266915	L-cysteine hydrazide hydrochloride decreased the level of sialic acid in EAE;	EAE	73 76	1	0
3266919	Rosette formation is inhibited by certain sugars showing the same pattern of inhibition as in the case of autologous rosette formation by CBA mouse thymocytes.	CBA	138 141	0	1
3267022	The tension development following activation by calcium (pCa 4.8), and relaxation following removal of calcium (pCa 9), were slower in 25 mM compared to 150 mM ionic strength.	pCa	57 60	0	1
3267022	The tension development following activation by calcium (pCa 4.8), and relaxation following removal of calcium (pCa 9), were slower in 25 mM compared to 150 mM ionic strength.	pCa	112 115	0	1
3267234	The significant differences that distinguish LCa from LCb and the brain from non-brain forms show remarkable preservation in all three species.	LCa	45 48	0	1
3267234	Unorthodox sequences for translation initiation and polyadenylation are found for LCb contrasting with LCa which exhibits orthodox regulatory sequences.	LCa	103 106	0	1
3267234	Small insertions in human LCa revealed a duplicated sequence of 13 residues that flank the 22-residue conserved region.	LCa	26 29	0	1
3267234	The hydrophobic face of this helix, which is presumed to interact with the heavy chain, is highly conserved between LCa and LCb, whereas the hydrophilic face shows considerable divergence.	LCa	116 119	0	1
3267234	To help define the carboxyl-terminal limit of the heavy chain binding region, the epitope recognized by the CVC.6 monoclonal antibody was localized to residues 192-208 of LCa with glutamic acid 198 being of most importance.	LCa	171 174	0	1
3267234	The faithful preservation of clathrin light chain polymorphism in three mammalian species provides evidence supporting a functional diversification of the brain and non-brain forms of LCa and LCb.	LCa	184 187	0	1
3267291	In a 5-year period during which 7,178 patients with head injury were admitted to a regional head injury unit, 191 motorcyclists (2.7%) were admitted with head injuries of which 76% were classified as minor, 6% as moderate and 18% as severe (in coma).	coma	244 248	1	0
3267330	Over a 2-year period, 22 consecutive comatose patients (Glasgow Coma Score of less than or equal to 8) with intraventricular haematomas were managed with prolonged external ventricular drainage via an external one-way valve regulated system.	Coma	64 68	1	0
3267474	Recording of oesophageal manometry under basal and stimulating conditions obtained from 30 patients GERD and 10 healthy controls were assessed.	GERD	100 104	1	0
3267481	Transition from alpha to theta pattern coma in fatal cerebral anoxia.	coma	39 43	1	0
3267481	A transition of alpha to theta pattern coma is documented in a case of fatal cerebral anoxia after a cardiac arrest.	coma	39 43	1	0
3267698	The occurrence in the cytoplasm of 'double-layered' vesicles containing granular material resembling bleb contents and the disappearance of blebs from the nuclear envelope by the end of the cell cycle provide evidence that blebs represent a step in the transport of some material from the nucleus to the cytoplasm.	bleb	101 105	0	1
3267698	If foreign nuclei are introduced a few hours after activation they must be incubated in the host cytoplasm for some time before initiation of bleb formation, provided that the host pronucleus has initiated blebbing by that time.	bleb	142 146	0	1
3267731	To evaluate coronary artery disease, a new quantitative thallium-201 (201T1)-tomographic scintigraphic score (TSS: modified Massie's score) using oxygen consumption (METS) was developed and compared with coronary angiographic score in 27 patients (eight patients with normal coronary angiograms, and five, eight and six patients with one, two and three vessel disease, respectively) without previous myocardial infarction.	TSS	110 113	0	1
3268059	[A new zymodeme of Leishmania tropica, agent of Aleppo boil (Syria)].	boil	55 59	0	1
3268129	Experience with 'open evacuation of pus' in the treatment of intracerebral abscess.	pus	36 39	1	0
3268129	Twenty-seven of 29 consecutive patients with brain abscess were treated by 'open evacuation of pus'.	pus	95 98	1	0
3268129	This technique involves wide exposure of the brain so that the abscess capsule may be incised and cleared of pus under direct vision.	pus	109 112	1	0
3268129	In only one case was a further operation required to remove pus which had reformed after an adequate primary clearance.	pus	60 63	1	0
3268129	The author believes that 'open evacuation of pus' is the most satisfactory surgical technique for an intracerebral abscess.	pus	45 48	1	0
3268263	The hopelessness scale, beck depression inventory, and health ratings were predictive of suicidal ideation as measured by specific items in the SADS.	SADS	144 148	1	0
3268270	Analyses of the Time 2 RTs demonstrated that aspects of memory-search performance were related significantly both to subjects' initial (Time 1) level of fitness and to age, but not to the amount of change in fitness associated with aerobic exercise training over this 12-week duration in this age group.	RTs	23 26	0	1
3268347	Unreported symptomatic and asymptomatic ischaemic heart disease in patients presenting with TIA or minor stroke detected by the London School of Hygiene Cardiovascular Questionnaire and Minnesota coding of a routine ECG.	TIA	92 95	1	0
3268347	In a prospective study of 87 patients with TIA or minor stroke (48 men and 39 women, average age 65 years) a history of ischaemic heart disease was present in 30 (angina in 25 and myocardial infarction (MI) in 19, 14 having both).	TIA	43 46	1	0
3268347	The London School of Hygiene Questionnaire did not confirm the diagnosis of ischaemic heart disease in 7 patients, but did detect a further 5 patients with angina and/or MI.	MI	170 172	1	0
3268347	Cardiomegaly (cardiothoracic ratio greater than 0.5) was present in 28 patients, 9 with a history of MI and 8 with a history of angina.	MI	101 103	1	0
3268351	The Perth Community Stroke Study: attack rates for stroke and TIA in Western Australia.	TIA	62 65	1	0
3268639	ADA Washington Memorandum: AIDS and infection control.	ADA	0 3	0	1
3268905	Coproparasitological investigations have been carried out on 216 patients anti-HIV seropositives, 192 of them with no symptoms, 5 with ARC and 19 with AIDS.	ARC	135 138	1	0
3268905	Oocystis of Cryptosporidium spp. have been recovered in three patients, two ARC and one AIDS.	ARC	76 79	1	0
3270054	The pathology of PRMs and meningiomas in children are discussed in light of our recent experience.	PRMs	17 21	1	0
3270361	Crf immunoreactivity climbing fibres were found in a longitudinal zonal pattern throughout the molecular layer.	Crf	0 3	0	1
3270361	From day 8 onwards a gradual increase in crf immunoreactivity was found in both the molecular and granular layer with formation of CRF-positive nests around Purkinje cellbodies starting at day 12.	crf	41 44	0	1
3270361	Subsequent outgrowth into the molecular layer could be followed, leading to an adult level of crf immunoreactivity in the cerebellum at approximately day 22 postnatally.	crf	94 97	0	1
3270361	Crf immunoreactivity in mossy fibres has as adult appearance from approximately day 18.	Crf	0 3	0	1
3270361	The temporal and morphological changes of crf immunoreactivity in fibres in the cerebellum of immature rats followed closely the morphological development of climbing and mossy fibres.	crf	42 45	0	1
3270656	All cells were inoculated at 1 x 10(4) cells/cm2 (12 multi-well plate or 60 mm tissue culture dish), and then cultured for 4, 8 and 12 days with or without phenytoin (5 micrograms/ml).	dish	94 98	0	1
3270664	The results showed that, during first 14 days, significant reduction in the percentage of the sites which showed bleeding on probing, pus discharge or mobility of the tooth was observed in the PT-01 applied site.	pus	134 137	1	0
3270979	The zona glomerulosa, fasciculata and reticularis constitute about 13%, 53%, and 29% by volume of the cortex, respectively.	zona	4 8	0	1
3270996	Cyclosporine applied topically to the challenge site also resulted in a reduction of retest and flare-up reactions of contact sensitivity to dinitrochlorobenzene, but did not affect the production of generalized rash in the same animals.	rash	212 216	1	0
3271265	[The effect of mating conditions on the effectiveness of transmitting RP4 plasmids in Pseudomonas mallei].	RP4	70 73	0	1
3271491	In summary, the simulations demonstrate strong bending, which can be reflected by an arc radius in the range around 50 A.	arc	85 88	0	1
3271592	Computer analysis revealed the following risk factors of a fatal outcome: severe gastrointestinal symptoms during the prodromal period, coma, convulsions, malignant hypertension, persistence of prodromal symptoms over 7 days, hyperkalemia over 7 mmol/l, acidosis with bicarbonate level less than 15 mmol/l, a delay of over 5 days in starting dialysis, and transport to dialysis unit of over 100 km.	coma	136 140	1	0
3271869	When a calmodulin inhibitor, 1-[bis(4-chlorophenyl)methyl]-3-[ 2-(2,4-dichlorophenyl)-2-[(2,4-dichlorophenyl)methoxy] ethyl]-1H- imidazolium chloride, was included in the medium prior to ATP addition, bleb formation was reduced and the loss of viability was completely prevented, indicating that a Ca2+-calmodulin process may be involved in the initiation of cytotoxicity.	bleb	201 205	0	1
3272821	Immunoglobulin allotypes and familial cutaneous malignant melanoma/dysplastic nevi.	nevi	78 82	1	0
3272821	Gm and Km allotypes were examined in 355 members of 14 large pedigrees segregating for autosomal dominant cutaneous malignant melanoma/dysplastic nevi.	nevi	146 150	1	0
3272892	Interview with the ADA president-elect.	ADA	19 22	0	1
3273665	[Variations during developmental process of AchE isoenzyme in susceptible strain and dipterex-resistant strain of the Culex pipiens pallens Coq].	AchE	44 48	0	1
3273931	We evaluated seven PCA infusion pumps from seven manufacturers.	PCA	19 22	0	1
3273956	We evaluated 7 PCA infusion pumps from 7 manufacturers.	PCA	15 18	0	1
3274810	These results suggest (1) that ALS + BM fractions can be used to promote tolerance in long-term graft survivors;	ALS	31 34	0	1
3274894	The Xenopus ER, the first steroid hormone receptor to be sequenced from a cold-blooded organism, exhibits two regions of striking amino acid homology with the human and avian ERs.	ERs	175 178	0	1
3274894	In the putative DNA binding region, the amino acid sequence of the xER differs from those of the human and avian ERs at only one of 83 amino acids.	ERs	113 116	0	1
3274894	The putative hormone binding region contains 44 and 46 amino acid blocks in which the sequence is identical in the Xenopus and human ERs.	ERs	133 136	0	1
3275155	Gout medication analogue being tested against advanced solid tumors.	Gout	0 4	1	0
3275166	One of them was in deep coma, with severe ventricular arrhythmias and had several episodes of ventricular fibrillation controlled with defibrillatory procedures.	coma	24 28	1	0
3275446	The two techniques were compared for image quality and ability to provide unique diagnostic information.	two	4 7	0	1
3275751	The committee diagnoses were embryonal rhabdomyosarcoma in 877 (54%), alveolar rhabdomyosarcoma in 343 (21%), botryoid rhabdomyosarcoma in 88 (5%), pleomorphic rhabdomyosarcoma in 11 (1%), STI in 135 (8%), and EOE in 84 (5%).	EOE	210 213	1	0
3275751	The prognosis varied by histology, with botryoid having the best, alveolar rhabdomyosarcoma and STI the worst, and embryonal rhabdomyosarcoma and EOE an intermediate prognosis.	EOE	146 149	1	0
3275789	Weakly tumorigenic cells, which express the E1A oncogene of adenovirus type 12 and the E1B genes of Ad5, also attach preferentially to type IV collagen but do not contain laminin on their surface.	Ad5	100 103	0	1
3275789	Cells which express the E1A oncogene of Ad5 and the E1B genes of adenovirus type 12 are nontumorigenic and do not preferentially attach to type IV versus type I collagen but have laminin on their surface.	Ad5	40 43	0	1
3275789	There is no significant difference in the amounts of laminin secreted into the culture medium among cells expressing the E1B genes of Ad5 or adenovirus type 12.	Ad5	134 137	0	1
3275789	In vitro assays show that cells which express the E1B genes of adenovirus type 12, irrespective of the origin of the E1A genes, can bind three times more exogenously added laminin than cells expressing the E1B genes of nononcogenic Ad5.	Ad5	232 235	0	1
3275972	Amniotic sac development: ultrasound features of early pregnancy--the double bleb sign.	bleb	77 81	1	0
3275972	We have called this the double bleb sign.	bleb	31 35	1	0
3275972	These three stages are 1, a simple double bleb, 2, a double bleb with a stalk, and 3, a double bleb with a separating yolk sac.	bleb	42 46	1	0
3275972	These three stages are 1, a simple double bleb, 2, a double bleb with a stalk, and 3, a double bleb with a separating yolk sac.	bleb	60 64	1	0
3275972	These three stages are 1, a simple double bleb, 2, a double bleb with a stalk, and 3, a double bleb with a separating yolk sac.	bleb	95 99	1	0
3275986	Many other symptom complexes could be discussed that affect virtually every organ system of patients with AIDS or ARC.	ARC	114 117	1	0
3276084	The ATS classification of regional lymph nodes also has been updated both to take into account the growing recognition of superior diaphragmatic nodes in lung cancer and to change the supraclavicular lymph nodes from distant metastases to thoracic nodes (in keeping with the revised TNM system).	ATS	4 7	0	1
3276269	Kuru reported the superiority of abdominoperineal resection, an orient of surgery had changed to abdominoperineal resection from abdominosacral excision with time.	Kuru	0 4	0	1
3276370	Present-day practice favours the lower segment operation and emphasizes the reduced operative blood loss and the more secure uterine scar as reasons for the choice.	scar	133 137	1	0
3276426	Though usually brief and transient complications may be profound, including coma, convulsions, and death.	coma	76 80	1	0
3276723	Zona glomerulosa function after life-long suppression in two siblings with the hypertensive virilizing form of congenital adrenal hyperplasia.	Zona	0 4	0	1
3276723	To selectively study zona glomerulosa function, the patients and five normal subjects were given dexamethasone (2 mg/day; thus suppressing zona fasciculata function), and their sodium intake was restricted to 10 mmol/day.	zona	21 25	0	1
3276723	To selectively study zona glomerulosa function, the patients and five normal subjects were given dexamethasone (2 mg/day; thus suppressing zona fasciculata function), and their sodium intake was restricted to 10 mmol/day.	zona	139 143	0	1
3276723	After 3-5 days, the zona glomerulosa was stimulated with either angiotensin II or potassium chloride.	zona	20 24	0	1
3276723	After the first year, PRA recovered, and the zona glomerulosa began to respond.	zona	45 49	0	1
3276723	Both patients, however, had persistently elevated plasma deoxycorticosterone concentrations, suggesting slight but definite impairment of 11 beta-hydroxylation in the zona glomerulosa.	zona	167 171	0	1
3276723	We conclude that in spite of a severe and persistent 11 beta-/18-hydroxylation deficiency in the zona fasciculata, the zona glomerulosa can recover almost completely after prolonged treatment.	zona	97 101	0	1
3276723	We conclude that in spite of a severe and persistent 11 beta-/18-hydroxylation deficiency in the zona fasciculata, the zona glomerulosa can recover almost completely after prolonged treatment.	zona	119 123	0	1
3276723	Appropriate stimulation, however, discloses a minor 11 beta-hydroxylation impairment also in the zona glomerulosa.	zona	97 101	0	1
3276723	In addition, the lack of parallelism in zona glomerulosa 11 beta- and 18-hydroxylation of deoxycorticosterone provides evidence for the concept of different 18-hydroxylating systems in the adrenal cortex.	zona	40 44	0	1
3277140	Three patients showed debris in the cysts suggesting pus, which was confirmed on ultrasound-guided aspiration in two and on surgery in one case.	pus	53 56	1	0
3277440	Evidence for the nonmuscle nature of the "myofibroblast" of granulation tissue and hypertropic scar.	scar	95 99	1	0
3277440	In order to better characterize the myofibroblast, the authors have examined its cytoskeleton and surrounding extracellular matrix in human burn granulation tissue, human hypertrophic scar, and rat granulation tissue by indirect immunofluorescence.	scar	184 188	1	0
3277497	Patients with COPD have increased airway responsiveness to pharmacologically induced bronchoconstriction when compared with normal healthy subjects.	COPD	14 18	1	0
3277497	We questioned whether an inhaled bronchodilator such as isoproterenol would benefit patients with COPD by inhibiting inducible bronchoconstriction.	COPD	98 102	1	0
3277497	Ten patients with COPD were found to be more sensitive to methacholine by inhalation bronchial challenge testing than were normal control subjects.	COPD	18 22	1	0
3277497	However, within the COPD group, there was a significant negative correlation between both baseline lung function and airway responsiveness (PD35-SGaw) with inhibition of methacholine-induced bronchoconstriction.	COPD	20 24	1	0
3277497	This suggests that those patients with COPD and significantly reduced lung function (%FEV1 less than 50%) demonstrate airway hyperresponsiveness to a degree recorded in asthma and may benefit from therapy that inhibits airway responsiveness.	COPD	39 43	1	0
3277855	100 Ph+ CML patients submitted to BMT were studied cytogenetically before grafting and serially after transplantation.	CML	8 11	1	0
3277915	More importantly, however, two of the monoclonal antibodies reacted with the mannoprotein precipitin arc of C. albicans that was produced by reference rabbit polyclonal antisera by crossed immunoelectrophoresis, thus linking the heterogeneity seen by immunofluorescence to the heterogeneity in mannoproteins.	arc	101 104	0	1
3278114	Patients in labor with ruptured membranes for more than three hours who undergo delivery by cesarean section have an increased risk of developing PPE.	PPE	146 149	1	0
3278232	The adverse effects of methotrexate were limited to transient nausea in three patients and an evanescent rash in one patient.	rash	105 109	1	0
3278533	The glial scar: its bearing on axonal elongation and transplantation approaches to CNS repair.	scar	10 14	0	1
3278781	Unilateral stimulators for nocturnal pacing have been implanted in five patients with central alveolar hypoventilation (sleep apnea) and five patients who suffered chronic ventilatory insufficiency resulting from various etiologies.	five	67 71	0	1
3278781	Unilateral stimulators for nocturnal pacing have been implanted in five patients with central alveolar hypoventilation (sleep apnea) and five patients who suffered chronic ventilatory insufficiency resulting from various etiologies.	five	137 141	0	1
3278836	The diagnosis of gout or CPPD deposition disease usually requires crystal identification from joint fluid for diagnosis.	gout	17 21	1	0
3278841	The ubiquitous nature of spinal ligamentous calcification in the paleontologic record provides additional support for the suggestion that DISH is a protective phenomenon rather than a musculoskeletal disease, and perhaps represents a normal variant.	DISH	138 142	1	0
3278841	Clinical assessment of contemporary DISH suggests a protective mechanical effect, paradoxically associated with increased risk of hypertension and cerebrovascular accident.	DISH	36 40	1	0
3278841	DISH should probably not be considered a satisfactory explanation for back pain, but the presence of spinal ligamentous calcification requires that the patient be assessed for hypertension and that aggressive therapy be instituted for any found.	DISH	0 4	1	0
3278898	Four genes have been identified as components of this response, ada, alkA, alkB and aidB.	ada	64 67	0	1
3278898	AlkA protein functions as a glycosylase that repairs N3-meA, N3-meG, O2-meT, and O2-meC residues in DNA, and Ada protein functions as an alkyltransferase that removes alkyl groups from O6-meG, O4-meT residues as well as methylphosphotriesters.	Ada	109 112	0	1
3278898	After it interacts with methylated DNA, Ada protein functions as a positive regulatory element that controls the expression of the adaptive response by stimulating the expression of the ada-alkB operon, and the alkA and aidB genes.	Ada	40 43	0	1
3279327	[The Dutch TIA study of the preventive action of very low doses of acetylsalicylic acid and atenolol].	TIA	11 14	1	0
3279484	Fatal coma developed two and a half days later.	coma	6 10	1	0
3279513	The fundamental pathogenetic significance of the Ph chromosome abnormality in CML has been clarified by molecular studies.	CML	78 81	1	0
3279513	Recent cytogenetic data indicate that the specific changes observed in various types of ANLL may be seen in corresponding types of MT, such as t(15;17) in promyelocytic transformations and abnormalities of 3q21-3q26 in megakaryoblastic transformations.	ANLL	88 92	1	0
3279514	In this review we have described molecular consequences of the t(9;22) translocation typical of CML and some cases of ALL.	CML	96 99	1	0
3279514	This data also provides insight into the relationship between Ph1 positive, Ph1 negative CML and Ph1 positive ALL.	CML	89 92	1	0
3279514	How does increased abl related kinase activity eventuate in CML?	CML	60 63	1	0
3279514	Finally, this data reviewed suggests that factors other than abl and bcr must play a role in CML.	CML	93 96	1	0
3279797	Freshly dispersed cells exhibited two myosin heavy chains (MHC-1 and MHC-2) but, within 24 h after culturing, only cells attached to the dish expressed a third protein band (MHC-3), which had electrophoretic mobility and immunoreactivity similar to purified platelet MHC.	dish	137 141	0	1
3280128	The symptoms of the patients [idiopathic blepharospasm (IB), in 11 patients, oromandibular dystonia in four patients] were quantified by a blind observer counting the frequencies and recording the cumulative duration of sustained spasms of IB and oromandibular dystonia over periods of 4 min before, and 15, 30, 60, 90, and 120 min after the i.v. challenges.	IB	240 242	1	0
3280128	Baseline quantification of IB and oromandibular dystonia was performed at identical intervals on randomized days of the trial.	IB	27 29	1	0
3280128	Significant improvement of the IB scores was found in response to biperiden and clonazepam and a trend toward improvement in response to lisuride (Wilcoxon test).	IB	31 33	1	0
3280128	Evaluation of the individual IB scores of each patient following the various drug challenges failed to predict the therapeutic potential of these drugs for subsequent oral treatment.	IB	29 31	1	0
3280181	Sera from 80 subjects with IDDM and NIDDM, together with sera from 20 patients with miscellaneous autoimmune conditions and 20 healthy adult subjects were tested for insulin receptor antibodies by (1) inhibition of 125I-insulin binding to EBV-transformed lymphoid cells, and by (2) immunoprecipitation of solubilized insulin receptors in the presence of an excess of mono-specific anti-human IgG or IgM;	IDDM	27 31	1	0
3280181	Anti-insulin receptor antibodies were found in 13 of 33 subjects with IDDM and six of 47 with NIDDM.	IDDM	70 74	1	0
3280181	Insulin antibodies were found in seven of 33 subjects with IDDM and six of 12 with NIDDM, all of whom were on insulin treatment.	IDDM	59 63	1	0
3280217	The disease is initially characterized by fever, headache, gastrointestinal complaints, myalgia, and a generalized rash.	rash	115 119	1	0
3280239	Disorders that are extrinsic or environmental (such as KCS) often affect the exposed interpalpebral ocular surface before the more protected inferior palpebral ocular surface.	KCS	55 58	1	0
3280284	Palpation of the uterus revealed a dehiscence, covered by muscle, in the region of the uterotomy scar, but it required no revision.	scar	97 101	1	0
3280561	The most common side effect is allergic rash, which occurs in about 5% of all patients receiving carbamazepine;	rash	40 44	1	0
3280561	Antihistamines sometimes bring about a remission of the rash.	rash	56 60	1	0
3280634	Increased numbers of nevocytic nevi;	nevi	31 35	1	0
3280731	Prospective studies of ADDH children, with or without conduct disorder, show a high outcome of antisocial personality disorder.	ADDH	23 27	1	0
3280731	Recently, other forms of treatment have been added to the traditional psychopharmacological agents used for ADDH.	ADDH	108 112	1	0
3280795	By 45 months, 33.5% had stopped treatment due to lack of efficacy and 14.5% due to toxicity, mainly rash and diarrhea.	rash	100 104	1	0
3281104	Karyotype studies have identified important subsets of ANLL with distinctive clinical and biologic properties, for which tailored therapies someday may be developed.	ANLL	55 59	1	0
3281264	There is convincing evidence that aspirin will reduce the rate of recurrent TIA, stroke, and death in patients with TIA.	TIA	76 79	1	0
3281264	There is convincing evidence that aspirin will reduce the rate of recurrent TIA, stroke, and death in patients with TIA.	TIA	116 119	1	0
3281564	Diagnosis, often difficult, is evoked before fistula with yellow granules in the pus.	pus	81 84	1	0
3281596	We treated a girl with CSNA, who was born to nonconsanguineous Japanese parents.	CSNA	23 27	1	0
3281596	This disease is important in the dermatological field, since the degree of anhidrosis and self-mutilation influence the prognosis of patients with CSNA.	CSNA	147 151	1	0
3281631	Muscle spasm, tension, spasticity, taut bands, scar tissues, or fibrositic nodules can be documented.	scar	47 51	1	0
3282004	No differences in efficacy were observed, but the profile of side-effects differed with tremor, rash, nausea and headache occurring with fluoxetine, and drowsiness, dizziness and visual disturbance with dothiepin.	rash	96 100	1	0
3282073	Sera which reacted with hardjo flagella also reacted with bands of similar mol. wts in preparations from other serovars.	wts	80 83	0	1
3282377	Thrombocytopenia and DIC are probably the most common defects associated with clinical bleeding in small animal patients.	DIC	21 24	1	0
3282531	One patient developed a transient drop in blood platelets together with a cutaneous rash, while three others had a transient and mild decrease of thrombocytes.	rash	84 88	1	0
3282568	Nonreduced sodium dodecyl sulfate-polyacrylamide gel electrophoresis demonstrated that endothelial cell high-mol wt kininogen consisted of five protein bands with mol wts of 95,000, 85,000, 65,000, 46,000, and 30,000 daltons.	wts	167 170	0	1
3282655	The predominant immunoglobulin determined in circulating immune complexes of colorectal cancer patients was IgA, followed by IgG and IgM, whereas IgG and IgM were the most frequent Igs in circulating immune complexes of breast cancer patients.	Igs	181 184	0	1
3282740	Many diagnostic parameters have been devised to diagnose these conditions, however, no single test alone allows a confident antenatal diagnosis of IUGR or macrosomia to be established.	IUGR	147 151	1	0
3282740	Careful monitoring of fetuses with suspected IUGR and macrosomia may decrease much of the morbidity and mortality associated with these conditions.	IUGR	45 49	1	0
3282889	The other 2 showed a decrease by 0.26 each, in 1 case temporally related to a TIA, in the 2nd case without further clinical deterioration.	TIA	78 81	1	0
