PMID	Sentence	Dictionary Name	Position	True	False
35052439	The present findings is a nonkilling method without requiring the selection by challenge with bacteria or viruses and might increase the possibility of utilization of selective breeding using SSR markers in farms.	SSR	192 195	0	1
35052527	LPS-stimulated HPCs retained mineralization potential, which was decreased with the antioxidants NAC and fisetin and the pro-oxidant BSO.	NAC	97 100	0	1
35053416	During a 7-day culture period, 2D- and 3D-cultured 3T3-L1 cells were subjected to lipid staining by BODIPY, qPCR for adipogenesis related genes, including peroxisome proliferator-activated receptor gamma, CCAAT/enhancer-binding protein alpha, Ap2 (fatty acid-binding protein 4; Fabp4), leptin, and AdipoQ, and RNA-sequencing analysis.	Ap2	243 246	0	1
35053416	The mRNA expression of peroxisome proliferator-activated receptor gamma, ccaat/enhancer-binding protein alpha, and Ap2 among the five genes tested were significantly higher in 3D spheroids than in 2D-cultured cells, thus providing support for this conclusion.	Ap2	115 118	0	1
35053435	The main fields of investigation include the identification of new immune checkpoint inhibitors (anti-LAG3, GITR agonist and anti-TIGIT), adoptive cell therapy, vaccines, engineered TCR therapy, IL-2 agonists, novel targets for targeted therapy (new MEK or RAF inhibitors, HDAC, IDO, ERK, Axl, ATR and PARP inhibitors), or combination strategies (antiangiogenetic agents plus immune checkpoint inhibitors, intra-tumoral immunotherapy in combination with systemic therapy).	TCR	182 185	1	0
35054180	The performance of the proposed strategy is analysed with performance metrics such as accuracy, sensitivity, specificity, and MCC measures, and the attained results are 95.9181%, 94.2515%, 97.125%, and 97.68%, respectively, which shows the effectiveness of the proposed method for cancer disease diagnosis.	MCC	126 129	0	1
35054504	We identified opposing expressional alterations in secreted ligands for axonal guidance signaling (RTN4/NOGOA, NTNs, SEMAs, SLITs) and non-conventional axon guidance regulating ligands, including WNT5A and their receptors, modulating axon formation.	axon	234 238	1	0
35055003	These developments seem to reflect a gradual and natural progression towards understanding molecular and signaling events at an individual axon and neuronal-soma level.	axon	139 143	1	0
35055028	Erythroid Differentiation Regulator 1 Strengthens TCR Signaling by Enhancing PLCgamma1 Signal Transduction Pathway.	TCR	50 53	1	0
35055028	Erythroid differentiation regulator 1 has previously been reported to control thymocyte selection via TCR signal regulation, but the effect of erythroid differentiation regulator 1 as a TCR signaling modulator was not studied in peripheral T cells.	TCR	102 105	1	0
35055028	In this report, it was determined whether erythroid differentiation regulator 1 affected TCR signaling strength in CD4 T cells.	TCR	89 92	1	0
35055028	Results revealed that erythroid differentiation regulator 1 significantly enhanced the anti-TCR antibody-mediated activation and proliferation of T cells while failing to activate T cells in the absence of TCR stimulation.	TCR	206 209	1	0
35055028	In addition, erythroid differentiation regulator 1 amplified Ca2+ influx and the phosphorylation of PLCgamma1 in CD4 T cells with the TCR stimuli.	TCR	134 137	1	0
35055028	Furthermore, NFAT1 translocation into nuclei in CD4 T cells was also significantly promoted by erythroid differentiation regulator 1 in the presence of TCR stimulation.	TCR	152 155	1	0
35055028	Taken together, our results indicate that erythroid differentiation regulator 1 positively modulates TCR signaling strength via enhancing the PLCgamma1/Ca2+/NFAT1 signal transduction pathway.	TCR	101 104	1	0
35055054	The CXCL12-CXCR4 axis is crucially engaged in the EPC-triggered augmentation of SMC migration and the attenuation of SMC apoptosis but not in the EPC-mediated increase in SMC proliferation.	SMC	80 83	0	1
35055054	In conclusion we show that the interaction of endothelial progenitor cells and smooth muscle cells unleashes a CXCL12-CXCR4-based autoregulatory feedback loop promoting regenerative processes and mediating SMC phenotype control to potentially guard vascular homeostasis.	SMC	206 209	0	1
35055125	NACA and LRP6 Are Part of a Common Genetic Pathway Necessary for Full Anabolic Response to Intermittent PTH.	NACA	0 4	1	0
35055125	PTH induces phosphorylation of the transcriptional coregulator NACA on serine 99 through Galphas and PKA.	NACA	63 67	1	0
35055125	This leads to nuclear translocation of NACA and expression of the target gene Lrp6, encoding a coreceptor of the PTH receptor necessary for full anabolic response to intermittent PTH treatment.	NACA	39 43	1	0
35055125	To test this model, we generated compound heterozygous mice in which one allele each of Naca and Lrp6 is inactivated in osteoblasts and osteocytes, using a knock-in strain with a Naca99 Ser-to-Ala mutation and an Lrp6 floxed strain (test genotype: Naca99S/A; Lrp6+/fl;OCN-Cre).	Naca	88 92	1	0
35055125	These results confirm that NACA and LRP6 form part of a common genetic pathway that is necessary for the full anabolic effect of intermittent pth.	NACA	27 31	1	0
35055135	Silver particles cause the loss of pili and deformation and destruction of cell membranes.	pili	35 39	1	0
35055770	Incidence rates over the study period were stable for men (APC = 0.1%) and increasing for women by 1.1% per year.	APC	59 62	0	1
35056454	Signals and Stress Regulating Extraintestinal Pathogenic Escherichia coli Type 1 Fimbriae (Pili).	Pili	91 95	1	0
35056457	This domain is already known in P. aeruginosa as p28 domain and its importance for azurin anticancer activity has been widely explored.	p28	49 52	1	0
35056530	The approximate water age (time in the system) for all sample locations are as follows: ~4.5, 3.4, 9.2, 20.8, and 23.2 h (h) for the groundwater to the reservoir influent, reservoir influent to the reservoir effluent, reservoir effluent to building Fa (building names are abbreviated to protect the privacy of site location), building ERC and the cooling towers, respectively.	ERC	335 338	0	1
35056530	(23S rRNA) were significantly higher in the cooling towers and ERC building (p < 0.05) relative to the reservoir and building Fa (closest to reservoir).	ERC	63 66	0	1
35056530	Based on this study, it is hypothesized that water age in the distribution system and the premise-plumbing system as well as building management plays a major role in the increase of Legionella spp., (23S rRNA) and the diversity of pathogenic species found as seen in the influent, and at the taps in the ERC building-where the building water quality was most comparable to the industrial cooling towers.	ERC	305 308	0	1
35056565	Meanwhile, egg quality, expressed as egg weight, albumin height, haugh units, egg shell strength, and egg shell thickness remained unchanged (p > 0.05), although yolk color was decreased.	yolk	162 166	1	0
35056703	Morphometric measurements were carried out on fruits, accompanied by chemical characterization (total phenolic content, antioxidant activity, carbohydrates and minerals) and the development of four new polymorphic SSR markers involved in the flavonoid pathway.	SSR	214 217	0	1
35056858	The product was purified through HLB cartridge, diluted, and sterilized.	HLB	33 36	0	1
35057045	Application of Mathematical Models to Determine the Feasibility of Amorphous Drug Layering in Pan Coaters.	Pan	94 97	0	1
35057517	Therefore, in this study, the effect of garlic (Allium sativum L.) on growth parameters, plasma lipid profile, and morphological parameters in the ileum of Wistar rats subjected to various types of heat treatment (90 s blanching garlic, 10 min boiling in water, 10 min pan frying without fat, microwave heating fresh garlic, 90 s blanching and microwave heating garlic, 10 min boiling in water and microwave heating garlic, and 10 min pan frying without fat and microwave heating garlic) was determined in an atherogenic diet (containing 1% addition of cholesterol).	pan	269 272	0	1
35057576	Furthermore, PTE was able to prevent neuronal loss and astrocyte reactivity induced by hypoxia-ischemia, as demonstrated by NeuN and GFAP staining, respectively.	GFAP	133 137	1	0
35057611	Through genome mining and heterologous expression, nine new diterpenoid pyrones, shearones A-I (1-9), were discovered from the fungus Eupenicillium shearii IFM 42152, and their biosynthetic enzyme activities were revealed.	IFM	156 159	0	1
35057642	Proliferative capacity of neural progenitor cells varies among NPC types, developmental stages, and species.	NPC	63 66	0	1
35057642	Recent studies have shed light on the importance of cell metabolism in the neocortical NPC proliferative capacity.	NPC	87 90	0	1
35057642	In this review, we summarize our current knowledge of NPC metabolism, focusing especially on glutaminolysis, and discuss the role of NPC metabolism in neocortical development, evolution, and neurodevelopmental disorders, providing a broader perspective on a newly emerging research field.	NPC	54 57	0	1
35057763	P < 0.001, and for (MCS; COVID-19 anxiety) = -0.521;	MCS	20 23	0	1
35057839	Organ average and maximum doses, and PTV dose distribution indexes were compared between different techniques.	PTV	37 40	0	1
35057967	The modification of the interdigitated electrode array (IDA) by nitrogen-doped mesoporous carbon spheres (N-doped MCS) and nitrogen-doped carbon hollow trunk-like structure (N-doped CHT) was used to fabricate the noradrenaline sensor.	MCS	114 117	0	1
35058002	Tetrabromobisphenol a, and Pflame retardants (including metabolites), however, GC-based analysis following derivatization has also been used for phenolic compounds and PFR metabolites.	PFR	168 171	0	1
35058328	To examine heterogeneity and clonal dynamics of tumor infiltrating lymphocytes, we applied paired single-cell RNA and TCR sequencing in three head and neck squamous cell carcinoma models.	TCR	118 121	1	0
35058328	Mapping TCR shared fractions identified that successful anti-PD1 or anti-CTLA4 therapy-induced higher post-treatment T cell lineage transitions.	TCR	8 11	1	0
35058728	SGB121 significantly abates excessively phosphorylated tau protein in the cortex and GFAP activation in corpus callosum.	GFAP	85 89	1	0
35058753	We found that this gene dysregulation and block in NPC transition can be normalized by increasing the concentration of a sonic hedgehog pathway agonist (SAG) during differentiation.	NPC	51 54	0	1
35058756	Nonetheless, global cerebral ischemia significantly reduced d2 receptors and deltaFosB-ir in the NAcS and nucleus accumbens core, respectively, while DAT-ir was diminished in both NAc subregions.	NAc	180 183	0	1
35058786	However, the mechanisms of SHYS on diabetic nephropathy remain unknown.	SHYS	27 31	0	1
35058786	Next, we used 16S rRNA sequencing and untargeted metabolomics to study the potential mechanisms of SHYS on diabetic nephropathy.	SHYS	99 103	0	1
35058786	Our results showed that SHYS treatment alleviated the body weight loss, hyperglycemia, proteinuria, pathological changes in kidney in diabetic nephropathy rats.	SHYS	24 28	0	1
35058786	SHYS could also inhibite the oxidative stress and inflammatory response in kidney.	SHYS	0 4	0	1
35058786	16S rRNA sequencing analysis showed that SHYS affected the beta diversity of gut microbiota community in diabetic nephropathy model rats.	SHYS	41 45	0	1
35058786	Spearman correlation analysis showed that Lactobacillus, Candidatus_Saccharimonas, Ruminococcaceae UCG-005, Anaerovibrio, Bacteroides, and Christensenellaceae_R-7_group were closely correlated with most of physiological data and the differential metabolites following SHYS treatment.	SHYS	268 272	0	1
35058786	In conclusion, our study revealed multiple ameliorative effects of SHYS on diabetic nephropathy including the alleviation of hyperglycemia and the improvement of renal function, pathological changes in kidney, oxidative stress, and the inflammatory response.	SHYS	67 71	0	1
35058786	The mechanism of SHYS on diabetic nephropathy may be related to the improvement of gut microbiota which regulates arginine biosynthesis, tricarboxylic acid cycle, tyrosine metabolism, and arginine and proline metabolism.	SHYS	17 21	0	1
35058970	In the obtained results, the Sn and MCC values were over 10.17% and 0.297, respectively.	MCC	36 39	0	1
35058970	Besides, the Sn and MCC values of transition metals were higher than 34.46% and 0.564, respectively.	MCC	20 23	0	1
35059022	While in yeast the IMP complex can translocate Prx1 to the intermembrane space, the maturation of yeast Prx1 and mammalian Prdx3 and Prdx5 in the matrix has been associated with sequential cleavages of the presequence by MPP and Oct1/MIP proteases.	IMP	19 22	1	0
35059438	Editorial: The Role of Protein Post-Translational Modifications in Protein-RNA Interactions and RNP Assemblies.	RNP	96 99	1	0
35059596	There was a larger tumor size and more metastatic lymph nodes after NAC in the SG, but the differences were not significant.	NAC	68 71	0	1
35059610	Therefore, there is considerable interest in therapeutically targeting ryanodine receptors to normalize Ca2+ homeostasis in scenarios involving RyR dysfunction.	RyR	144 147	1	0
35059610	From a 1,534-compound screen, FLI-06 (currently described as a Notch "inhibitor") was identified as a potent blocker of RyR activity.	RyR	120 123	1	0
35059610	Therefore, this simple screen yielded RyR scaffolds tractable for development and revealed an unexpected linkage between ryanodine receptors and trafficking events in the early secretory pathway.	RyR	38 41	1	0
35059894	The early aborted ovules stopped growing on day 12, the endoblast and endosperm in the embryo sac aborted gradually.	sac	94 97	1	0
35059894	Furthermore, the shape of the embryo sac cavity changed.	sac	37 40	1	0
35059912	Sixteen anesthesiologists performed tracheal intubations with direct laryngoscope or three different videolaryngoscopes (McGRATH MAC videolaryngoscope, C-MAC videolaryngoscope, and Pentax-AWS) without an aerosol box or with a conventional or a modified aerosol boxes in simulated manikins with normal and difficult airways.	MAC	129 132	0	1
35059975	Morphine further enhanced GFAP expression in gp120tg+ mice regardless of host immune status, while promoted CD11b expression only in immunocompetent mice, regardless of gp120transgenic expression.	GFAP	26 30	1	0
35060216	Cannabinoid 1 Receptor CBIR regulates growth cone filopodia and axon dispersion in the optic tract of Xenopus laevis tadpoles.	axon	64 68	1	0
35060216	These findings suggest that both destablization and stabilization of growth cone filopodia are required for RGC axonal fasciculation/defasciculation in the optic tract, and that CB1R regulates growth cone filopodia and axon dispersion of retinal ganglion cells by oppositely modulating beta-catenin adhesive and Myosin II actin regulatory functions.	axon	219 223	1	0
35060299	An additional 4-circRNA signature was able to classify early-stage non-small cell lung cancer samples from NTC, reaching a maximum area under the ROC curve (AUC) of 0.981.	NTC	107 110	0	1
35060690	This IL13-dependent induction was not shown in liver slices of STAT6-deficient mice and when wild type slices were cotreated with transforming growth factor beta receptor 1 kinase inhibitor galunisertib, STAT6 inhibitor AS1517499, or AP1 inhibitor T5224.	AP1	234 237	0	1
35060690	This suggests that the OPG-inducing effect of IL13 is mediated through IL13 receptor alpha1-activation and subsequent STAT6-dependent upregulation of IL13 receptor alpha2, which in turn activates AP1 and induces production of transforming growth factor beta and subsequent production of osteoprotegerin.	AP1	196 199	0	1
35060690	CONCLUSION: We have shown that IL13 induces osteoprotegerin release by liver tissue through a TGFbeta-dependent pathway involving both the alpha1 and the alpha2 receptor of IL13 and transcription factors STAT6 and AP1.	AP1	214 217	0	1
35060707	The addition of methacrylamide chitosan microparticles into large liver cell spheroids supported the formation of stable and large spheroids (>500 mum in diameter) made of a heterogeneous population of immortalized human hepatoma and hepatic stellate cells (4 HepG2/1 HSC), especially at a 150:1 ratio of cells to microparticles.	HSC	268 271	0	1
35060740	For acetaminophen containing different surfactants, the strongest surface enrichment occurred for the most lipophilic Span 80 (lowest HLB), with nearly full surface coverage.	HLB	134 137	0	1
35061003	Systems-level conservation of the proximal TCR signaling network of mice and humans.	TCR	43 46	1	0
35061003	Independently of evolutionary considerations, our study suggests that a drug targeting the proximal TCR signaling network should behave similarly when applied to human and mouse T cells.	TCR	100 103	1	0
35061687	For internal egg measurements, level was significant for proportional yolk, proportional albumen, yolk index, and yolk:albumen.	yolk	70 74	1	0
35061687	Week was significant for internal egg parameters while level*week significantly affected Haugh unit, proportional albumen weight, yolk index, albumen index, and yolk color.	yolk	161 165	1	0
35062656	In this investigation, the proposed method was employed to monitor a 58 m PVC pipeline.	PVC	74 77	0	1
35063119	The laryngeal inlet in the floor of the pharynx is sealed by laryngeal cartilages, and the muscular laryngeal sac moves upward into the laryngeal cavity, completely occluding the airway.	sac	110 113	0	1
35063124	Pharmacological ablation of senescent cells via acute systemic administration of the senolytic drug ABT-263 (Navitoclax) caused a rapid increase in NPC proliferation and neurogenesis.	NPC	148 151	0	1
35063519	The results showed that the relative abundance of total antibiotic resistance genes increased obviously in the tank with single stress but decreased in the tank with combined stress, and the genes encoding the macrolide antibiotic efflux pump (msrA), phosphatase (mphB) and integron (intI2, intI3) were the most sensitive.	msrA	244 248	1	0
35063528	Wayne Hill Water Resources Center (FWH WRC) advanced wastewater treatment facility;	WRC	39 42	0	1
35063813	Invariant natural killer T cells are a kind of special T lymphocytes characterized by expressing invariant TCR of Valpha24Vbeta11 to recognize CD1d-presented glycolipid antigens, which bridge innate and adaptive immune responses.	TCR	107 110	1	0
35063825	Using Vis-NIR spectroscopy to distinguish gestational sac from other abdominal tissues is the key to diagnosing female rabbits' pregnancy by optical means.	sac	54 57	0	1
35063825	This study aims to demonstrate the gestational sac and other abdominal tissues (hair, skin, breast, muscle, cecum, small intestine) of rabbits can be identified using Vis-NIR spectroscopy in vitro.	sac	47 50	0	1
35063825	Two-way and multi-way partial least squares discrimination analysis model was conducted to understand the classification of each tissue from the gestational sac and to understand the classification of all tissues from the gestational sac, respectively.	sac	157 160	0	1
35063825	The results showed that Vis-NIR spectroscopy technology combined with partial least squares discrimination analysis could discriminate the gestational sac from the abdominal tissues.	sac	151 154	0	1
35064038	To rule out presence of locoregional or distant metastases, a CT scan was done which revealed a well-defined, intrascotal, extratesticular, heterogeneous, moderately enhancing mass lesion with cystic areas in the scrotal sac with no significant lymphadenopathy or obvious distant metastasis.	sac	221 224	0	1
35064479	Action to tackle the problem of plastic contamination in India will need to adopt a pan India strategic consensus/concurrent approach for effective waste collection and segregation with active participation of urban local bodies, fixing the role of the informal sectors, investment for reliable technology adoption with skilled manpower for operation, adoption of circular economy schemes involving plastic waste co-processing, and providing support to work on R&D for better penetration of the proven plastic valorization options along with their environmental and social implications.	pan	84 87	0	1
35064565	Hypoxia-induced rise in right ventricle systolic pressure, right ventricle hypertrophy and loss of endothelium-dependent relaxation were significantly decreased in smc rac1-deficient mice compared to control mice.	smc	164 167	0	1
35064934	Member 4 interacted with phosphatase and tensin homolog (PTEN), therefore regulating the PI3K-Akt-mTOR pathway and the expression of downstream cytokines, such as CCL2/3/4.	PTEN	57 61	1	0
35064947	We describe epithelia and their associated structures (e.g. ECM, cuticle) across all portions of the hornerid body wall, including the terminal membrane, vestibular wall, atrial sphincter, membranous sac and polypide-skeletal attachments.	sac	200 203	1	0
35064947	Deeper within a zooid it is retained exclusively in the attachment zones of the membranous sac: [skeleton]-tendon cell-ECM-coelothelium.	sac	91 94	1	0
494	These observations on synapse formation in amphibia are consistent with the hypothesis that during development the axon making the initial synaptic contact on the muscle cells induces a property over a length of muscle membrane adjacent to this site which makes it refractory to synapse formation;	axon	115 119	1	0
827	In an attempt to identify further the dopamine-containing axon, the ultratructure of adult neostriatum incubated in 5-hydroxydopamine was reported.	axon	58 62	1	0
1280	Bacterial metabolism of resorcinylic compounds: purification and properties of orcinol hydroxylase and resorcinol hydroxylase from Pseudomonas putida ORC.	ORC	150 153	0	1
1280	The hydroxylase activities observed in extracts of Pseudomonas putida ORC after growth on orcinol and resorcinol as sole source of carbon have been purified to homogeneity.	ORC	70 73	0	1
1334	Its spectral properties indicate that the chromophore of the physiologically active PFR form has lost the double bond of the bridge joining rings A and B.	PFR	84 87	0	1
1460	Exposure of the axon to 5% CO2 at constant external pH caused a sharp decrease in pHi, while the subsequent removal of the gas caused pHi to overshoot its initial value.	axon	16 20	1	0
1518	These results lead to the conclusion that quinidine HCl penetrates the nerve membrane in the uncharged form, is ionized in the axon and blocks the sodium and potassium conductances primarily in the charged form.	axon	127 131	1	0
1541	Starting with nucleoside 5'-phosphates, Mg++ and trimetaphosphate, the predominant products in the nucleoside 5'-polyphosphate series pnN are p4N, P7N and p10N.	pnN	134 137	0	1
1899	The enzyme studied could be used for preparation of ITP, IDP, IMP, inosine and hypoxantine.	IMP	62 65	0	1
2019	While acid disposal progressively decreased with time for the in vitro gut sacs, the in vivo gut sac showed no fatigue in this respect.	sac	97 100	0	1
2070	The EMC has two objectives: 1--Emergency treatment before the patient is moved, and the correction of failing vital functions by a medical team skilled in problems of neonates.	EMC	4 7	0	1
2324	Instead, the contraction of the intact spectrin meshwork induced by the precipitation conditions compresses the lipid bilayer of the membrane, causing it to bleb off particle-free, protein-free vesicles.	bleb	157 161	0	1
2356	Most of the synapses displayed an increased content of synaptic vesicles in the axon terminals, and the anastomosing synaptic folds were increased in number and depth.	axon	80 84	1	0
3921	[Organization of medical aid to patients with mandibular fractures in the Kirghiz SSR].	SSR	82 85	0	1
5138	Investigations on the mechanism of the IMP dehydrogenase (IMP: NAD+ oxidoreductase, EC 1.2.1.14) reactions have been made at pH 7.0 by measuring rates of isotope exchange at chemical equilibrium with K+ maintained at a constant concentration.	IMP	58 61	0	1
5138	The results are generally in accord with the conclusions reached on the basis of the steady-state kinetic data obtained previously and confirm that there is random addition of IMP and NAD to the enzyme.	IMP	176 179	0	1
5138	The data also indicate clearly that at pH 7.0 catalysis is faster than the rate of IMP and/or XMP release which is rate limiting for the reaction sequence.	IMP	83 86	0	1
5178	After deducting the intrinsic synapses, this indicates that each preganglionic axon forms about 1100 (900-1400) synapses.	axon	79 83	1	0
5178	After deducting the intrinsic synapses it can be calculated that each axon forms about 700 synapses.	axon	70 74	1	0
5178	Morphologically the majority have axon terminals with large dense cored vesicles, and it is likely that these belong to the axons of the parasympathetic preganglionic neurones in the dorsal motor nucleus of the vagus.	axon	34 38	1	0
5178	A smaller population of axon terminals are devoid of large dense cored vesicles;	axon	24 28	1	0
5178	After deducting the intrinsic synapses, this indicates that each axon may form up to 1900-3800 synapses.	axon	65 69	1	0
5178	There are about 600 of these neurones, which would indicate that they form about 1500 synapses per axon (after deducting the numbers of intrinsic synapses).	axon	99 103	1	0
5601	This augmentation could not be ascribed to an acceleration in the rate of penetration of procaine into the axon in low calcium solutions.	axon	107 111	1	0
6135	GMP, 68: IMP, 63;	IMP	9 12	0	1
6401	This suggests again that an axon reflex requiring intact sensory innervation mediates the response to nitrogen mustard.	axon	28 32	1	0
6484	Separation of ATP, ADP, AMP, adenine, adenosine, cAMP, ITP, IDP, IMP, hypoxanthine, inosine, cIMP, the guanine series, NAD, NADPH, xanthine, 3-methylxanthine, theobromine, theophylline, and caffeine was accomplished using high-performance liquid chromatography with a microparticulate reversed-phase column.	IMP	65 68	0	1
6592	Factors affecting the sensitivity of replicating McCoy cells in the isolation and growth of chlamydia A (TRIC agents).	TRIC	105 109	0	1
6672	Tetracycline was also transfered from the serous to the mucous coat in the non-everted intestinal sac of mice.	sac	98 101	0	1
7839	The effect of repetitive action potentials in the postsynaptic axon on the release of synaptic transmitter from the presynaptic terminal was investigated at the squid giant synapse.	axon	63 67	1	0
7839	Repetitive antidromic stimulation of the postsynaptic axon resulted in a reduction in the excitatory postsynaptic potential .	axon	54 58	1	0
8151	Homogenate gyanylate cyclase activites were 3.2, 1.6 and 1.2 nmol cyclic GMP formed per min/g tissue ihe non-substrate analogs of IMP were weak inhibitors of this enzyme, GMP and four of its analogs had Ki values ranging from 30 to 80 muM.	IMP	130 133	0	1
8207	Chemical neurotransmitter substances are released at the axon terminals of the central, autonomic, and peripheral nervous systems of the human body.	axon	57 61	1	0
8914	[Some results of applying the scientific research of the kirghiz research of the Kirghiz Research Institute of Oncology and Radiology in the national economy of the Kirghiz SSR for the purpose of preventing pretumorous diseases and cancer].	SSR	173 176	0	1
8916	[Statistics of the supranormal mortality among males in the urban settlements of the Kirghiz SSR].	SSR	93 96	0	1
9970	A comparison of the pupilloconstrictor effect of pilocarpine solution administered to the conjunctival sac as a single drop or as a continuous infusion in normal subjects.	sac	103 106	0	1
9970	Pilocarpine was administered into the conjunctival sac of normal volunteers by single-drop administration or by continuous infusion of a solution to the inner canthus by means of a fine Silastic tube.	sac	51 54	0	1
10180	Three types of axon profiles were observed in the smooth muscle of the retractor penis and the penile artery of the bull: 1. profiles containing small granular vesicles, presumably representing adrenergic axons;	axon	15 19	1	0
11200	Thus, the preterminal axon pathways become fluorescent throughout their full extent and the several new terminal systems, discovered with the glyoxylic acid-Vibratome method, are well demonstrable.	axon	22 26	1	0
11348	The effects of uranyl ion (UO22+; at low concentrations binds specifically to phosphate groups) and the cationic dye methylene blue (MB+; binds strongly to carboxyl groups) on saxitoxin potency in crayfish axon has been studied by means of intracellular microelectrodes.	axon	206 210	1	0
11512	Axon bundles of the tracts between retina and lamina or lamina and medulla project between a single ommatidium and its corresponding lamina cartridge or between corresponding lamina and medulla cartridges.	Axon	0 4	1	0
11512	Further discussion surrounds the question of which particular receptors give rise to which type of axon, for which no clear generalization has yet emerged.	axon	99 103	1	0
11514	The axon distribution in peripheral nerves of three common inhibitory neurones is described.	axon	4 8	1	0
12049	Interactions of protein, lipid and metal ions in the low-density lipoprotein of hen's-egg yolk.	yolk	90 94	1	0
12423	The present data, taken together with published and some unpublished results, indicate that all parts of most central dopamine neurons, i.e. cell body, dendrites, axon and nerve terminals, appear strongly fluorescent.	axon	163 167	1	0
13682	Responses to left lower lobe hypoxia were remeasured during administration of inhalation anesthetics at 1 and 2 MAC to both the left lower lobe and the rest of the lung.	MAC	112 115	0	1
13682	Isoflurane and fluroxene progressively inhibited and at 2 MAC halved lobar hypoxic pulmonary vasoconstriction.	MAC	58 61	0	1
13682	N2O (one third MAC) caused slight but significant inhibition, while halothane and enflurane caused slight and nonsignificant changes in lobar hypoxic pulmonary vasoconstriction.	MAC	15 18	0	1
14116	These experiments are consistent with the idea that pili may play a role in the irreversible uptake of transforming deoxyribonucleic acid by the gonococcus, but fail to provide evidence for other types of competence factors.	pili	52 56	1	0
14610	Studies on the apoproteins of the major lipoprotein of the yolk of hen's eggs II.	yolk	59 63	1	0
14610	Further studies have been made of the physical properties of hen's apovitellenin I, the principal low-molecular-weight protein from the high-lipid low density lipoprotein of the yolk of hen's eggs.	yolk	178 182	1	0
14613	The Flaviviruses comprised 13 Kunjin and 6 MVE isolates.	MVE	43 46	0	1
14656	The haemodynamic response to 1 MAC and 2 MAC isoflurane was studied in seven dogs and was similar before and after propranolol 0.1mg/kg i.v.	MAC	31 34	0	1
